Season,Player Name,Conference,Date,Team,Pos,Height,Weight,Age,PreDraftTeam,DraftYear,YOS
1983-1984,Buck Williams,,22-Jan-84,New Jersey Nets,PF,8-Jun,215,23,Maryland,1981,2
1983-1984,Kelly Tripucka,,15-Jan-84,Detroit Pistons,SF,6-Jun,220,25,Notre Dame,1981,2
1983-1984,Purvis Short,,8-Jan-84,Golden State Warriors,SF,7-Jun,210,26,Jackson State,1978,5
1983-1984,Isiah Thomas,,1-Jan-84,Detroit Pistons,PG,1-Jun,180,22,Indiana,1981,2
1983-1984,Dan Roundfield,,25-Dec-83,Atlanta Hawks,PF,8-Jun,205,30,Central Michigan,1975,7
1983-1984,Adrian Dantley,,18-Dec-83,Utah Jazz,SF,5-Jun,208,28,Notre Dame,1976,7
1983-1984,Jeff Ruland,,11-Dec-83,Washington Bullets,C,10-Jun,240,25,Iona,1980,2
1983-1984,Rickey Green,,4-Dec-83,Utah Jazz,PG,Jun-00,170,29,Michigan,1977,5
1983-1984,Mark Aguirre,,27-Nov-83,Dallas Mavericks,SF,6-Jun,232,24,DePaul,1981,2
1983-1984,Kiki Vandeweghe,,20-Nov-83,Denver Nuggets,SF,8-Jun,220,25,UCLA,1980,3
1983-1984,Magic Johnson,,13-Nov-83,Los Angeles Lakers,PG,9-Jun,255,24,Michigan State,1979,4
1983-1984,Eddie Johnson,,6-Nov-83,Kansas City Kings,SF,7-Jun,215,24,Illinois,1981,2
1982-1983,Mike Glenn,,17-Apr-83,Atlanta Hawks,G,2-Jun,175,27,Southern Illinois,1977,5
1982-1983,Magic Johnson,,10-Apr-83,Los Angeles Lakers,PG,9-Jun,255,23,Michigan State,1979,3
1982-1983,Larry Bird,,3-Apr-83,Boston Celtics,SF,9-Jun,220,26,Indiana State,1978,3
1982-1983,Jeff Ruland,,27-Mar-83,Washington Bullets,C,10-Jun,240,24,Iona,1980,1
1982-1983,Andrew Toney,,20-Mar-83,Philadelphia Sixers,G,3-Jun,178,25,Louisiana,1980,2
1982-1983,Gus Williams,,20-Mar-83,Seattle SuperSonics,G,2-Jun,175,29,USC,1975,6
1982-1983,Magic Johnson,,13-Mar-83,Los Angeles Lakers,PG,9-Jun,255,23,Michigan State,1979,3
1982-1983,John Drew,,6-Mar-83,Utah Jazz,GF,6-Jun,205,28,Gardner-Webb,1974,8
1982-1983,Walter Davis,,27-Feb-83,Phoenix Suns,GF,6-Jun,193,28,North Carolina,1977,5
1982-1983,Larry Nance,,20-Feb-83,Phoenix Suns,PF,10-Jun,205,24,Clemson,1981,1
1982-1983,Moses Malone,,6-Feb-83,Philadelphia Sixers,C,10-Jun,215,27,Petersburg High School (Virginia),1976,6
1982-1983,Artis Gilmore,,30-Jan-83,San Antonio Spurs,C,2-Jul,240,33,Jacksonville,1971,6
1982-1983,Joe Barry Carroll,,23-Jan-83,Golden State Warriors,FC,Jul-00,225,24,Purdue,1980,2
1982-1983,Alex English,,16-Jan-83,Denver Nuggets,SF,7-Jun,190,29,South Carolina,1976,6
1982-1983,Mickey Johnson,,9-Jan-83,New Jersey Nets,PF,10-Jun,190,30,Aurora,1974,8
1982-1983,Kiki Vandeweghe,,2-Jan-83,Denver Nuggets,SF,8-Jun,220,24,UCLA,1980,2
1982-1983,Maurice Lucas,,26-Dec-82,Phoenix Suns,PF,9-Jun,215,31,Marquette,1974,6
1982-1983,Isiah Thomas,,19-Dec-82,Detroit Pistons,PG,1-Jun,180,21,Indiana,1981,1
1982-1983,Larry Bird,,12-Dec-82,Boston Celtics,SF,9-Jun,220,26,Indiana State,1978,3
1982-1983,Buck Williams,,5-Dec-82,New Jersey Nets,PF,8-Jun,215,22,Maryland,1981,1
1982-1983,Larry Bird,,28-Nov-82,Boston Celtics,SF,9-Jun,220,26,Indiana State,1978,3
1982-1983,Alex English,,21-Nov-82,Denver Nuggets,SF,7-Jun,190,29,South Carolina,1976,6
1982-1983,Kelly Tripucka,,14-Nov-82,Detroit Pistons,SF,6-Jun,220,24,Notre Dame,1981,1
1982-1983,Reggie Theus,,7-Nov-82,Chicago Bulls,GF,7-Jun,190,25,UNLV,1978,4
1981-1982,Ray Williams,,18-Apr-82,New Jersey Nets,G,3-Jun,188,27,Minnesota,1977,4
1981-1982,Billy Ray Bates,,11-Apr-82,Portland Trail Blazers,SG,4-Jun,210,25,Kentucky State,1978,3
1981-1982,Jack Sikma,,4-Apr-82,Seattle SuperSonics,C,11-Jun,230,26,Illinois Wesleyan,1977,4
1981-1982,Moses Malone,,28-Mar-82,Houston Rockets,C,10-Jun,215,26,Petersburg High School (Virginia),1976,5
1981-1982,Robert Parish,,21-Mar-82,Boston Celtics,C,Jul-00,230,28,Centenary,1976,4
1981-1982,Kelly Tripucka,,14-Mar-82,Detroit Pistons,SF,6-Jun,220,23,Notre Dame,1981,0
1981-1982,George Gervin,,7-Mar-82,San Antonio Spurs,GF,7-Jun,180,29,Eastern Michigan,1974,5
1981-1982,Kareem Abdul-Jabbar,,28-Feb-82,Los Angeles Lakers,C,2-Jul,225,34,UCLA,1969,12
1981-1982,"Eddie Johnson, Jr.",,21-Feb-82,Atlanta Hawks,G,2-Jun,180,27,Auburn,1977,4
1981-1982,Jay Vincent,,14-Feb-82,Dallas Mavericks,F,7-Jun,220,22,Michigan State,1981,0
1981-1982,Moses Malone,,7-Feb-82,Houston Rockets,C,10-Jun,215,26,Petersburg High School (Virginia),1976,5
1981-1982,Greg Ballard,,24-Jan-82,Washington Bullets,F,7-Jun,215,27,Oregon,1977,4
1981-1982,Larry Bird,,17-Jan-82,Boston Celtics,SF,9-Jun,220,25,Indiana State,1978,2
1981-1982,Gus Williams,,10-Jan-82,Seattle SuperSonics,G,2-Jun,175,28,USC,1975,5
1981-1982,George Gervin,,3-Jan-82,San Antonio Spurs,GF,7-Jun,180,29,Eastern Michigan,1974,5
1981-1982,Larry Bird,,27-Dec-81,Boston Celtics,SF,9-Jun,220,25,Indiana State,1978,2
1981-1982,Bernard King,,20-Dec-81,Golden State Warriors,SF,7-Jun,205,25,Tennessee,1977,4
1981-1982,Artis Gilmore,,13-Dec-81,Chicago Bulls,C,2-Jul,240,32,Jacksonville,1971,5
1981-1982,George Gervin,,6-Dec-81,San Antonio Spurs,GF,7-Jun,180,29,Eastern Michigan,1974,5
1981-1982,Alex English,,29-Nov-81,Denver Nuggets,SF,7-Jun,190,28,South Carolina,1976,5
1981-1982,Dan Roundfield,,22-Nov-81,Atlanta Hawks,PF,8-Jun,205,28,Central Michigan,1975,5
1981-1982,Ron Brewer,,15-Nov-81,San Antonio Spurs,G,4-Jun,180,26,Arkansas,1978,3
1981-1982,Mychal Thompson,,8-Nov-81,Portland Trail Blazers,FC,10-Jun,226,27,Minnesota,1978,3
1980-1981,Robert Reid,,29-Mar-81,Houston Rockets,GF,8-Jun,205,25,St. Mary's (TX),1977,3
1980-1981,Micheal Ray Richardson,,22-Mar-81,New York Knicks,PG,5-Jun,189,25,Montana,1978,2
1980-1981,Moses Malone,,15-Mar-81,Houston Rockets,C,10-Jun,215,25,Petersburg High School (Virginia),1976,4
1980-1981,Larry Smith,,8-Mar-81,Golden State Warriors,PF,8-Jun,215,23,Alcorn State,1980,0
1980-1981,Terry Tyler,,1-Mar-81,Detroit Pistons,GF,7-Jun,215,24,Detroit-Mercy,1978,2
1980-1981,Mike Mitchell,,22-Feb-81,Cleveland Cavaliers,F,7-Jun,215,25,Auburn,1978,2
1980-1981,Mike Newlin,,15-Feb-81,New Jersey Nets,GF,4-Jun,200,32,Utah,1971,9
1980-1981,Caldwell Jones,,8-Feb-81,Philadelphia Sixers,FC,11-Jun,216,30,Albany State (GA),1973,6
1980-1981,Kenny Carr,,1-Feb-81,Cleveland Cavaliers,GF,7-Jun,220,25,NC State,1977,3
1980-1981,Phil Ford,,25-Jan-81,Kansas City Kings,G,2-Jun,175,25,North Carolina,1978,2
1980-1981,Julius Erving,,18-Jan-81,Philadelphia Sixers,SF,6-Jun,200,31,Massachusetts,1972,8
1980-1981,Tiny Archibald,,11-Jan-81,Boston Celtics,PG,1-Jun,150,32,UTEP,1970,10
1980-1981,Bernard King,,4-Jan-81,Golden State Warriors,SF,7-Jun,205,24,Tennessee,1977,3
1980-1981,Dennis Johnson,,28-Dec-80,Phoenix Suns,PG,4-Jun,185,26,Pepperdine,1976,4
1980-1981,Kareem Abdul-Jabbar,,21-Dec-80,Los Angeles Lakers,C,2-Jul,225,33,UCLA,1969,11
1980-1981,Dan Roundfield,,14-Dec-80,Atlanta Hawks,PF,8-Jun,205,27,Central Michigan,1975,4
1980-1981,"Mike Dunleavy, Sr.",,7-Dec-80,Houston Rockets,G,3-Jun,180,26,South Carolina,1976,4
1980-1981,Robert Parish,,30-Nov-80,Boston Celtics,C,Jul-00,230,27,Centenary,1976,3
1980-1981,Artis Gilmore,,23-Nov-80,Chicago Bulls,C,2-Jul,240,31,Jacksonville,1971,4
1980-1981,Billy Knight,,16-Nov-80,Indiana Pacers,GF,6-Jun,195,28,Pittsburgh,1974,4
1980-1981,Elvin Hayes,,9-Nov-80,Washington Bullets,FC,9-Jun,235,35,Houston,1968,12
1980-1981,David Thompson,,2-Nov-80,Denver Nuggets,GF,5-Jun,195,26,NC State,1975,4
1980-1981,Otis Birdsong,,26-Oct-80,Kansas City Kings,GF,3-Jun,190,25,Houston,1977,3
1980-1981,Adrian Dantley,,19-Oct-80,Utah Jazz,SF,5-Jun,208,25,Notre Dame,1976,4
1979-1980,Kevin Grevey,,30-Mar-80,Washington Bullets,GF,5-Jun,210,26,Kentucky,1975,4
1979-1980,Billy Ray Bates,,23-Mar-80,Portland Trail Blazers,SG,4-Jun,210,23,Kentucky State,1978,1
1979-1980,Magic Johnson,,16-Mar-80,Los Angeles Lakers,PG,9-Jun,255,20,Michigan State,1979,0
1979-1980,Cliff Robinson,,9-Mar-80,New Jersey Nets,F,9-Jun,220,19,USC,1979,0
1979-1980,Larry Bird,,2-Mar-80,Boston Celtics,SF,9-Jun,220,23,Indiana State,1978,0
1979-1980,Calvin Natt,,24-Feb-80,Portland Trail Blazers,F,6-Jun,220,23,Louisiana-Monroe,1979,0
1979-1980,Kareem Abdul-Jabbar,,17-Feb-80,Los Angeles Lakers,C,2-Jul,225,32,UCLA,1969,10
1979-1980,Rick Barry,,10-Feb-80,Houston Rockets,F,7-Jun,205,35,Miami (FL),1965,9
1979-1980,George Gervin,,27-Jan-80,San Antonio Spurs,GF,7-Jun,180,27,Eastern Michigan,1974,3
1979-1980,Dennis Johnson,,20-Jan-80,Seattle SuperSonics,PG,4-Jun,185,25,Pepperdine,1976,3
1979-1980,Greg Ballard,,13-Jan-80,Washington Bullets,F,7-Jun,215,25,Oregon,1977,2
1979-1980,Scott Wedman,,6-Jan-80,Kansas City Kings,GF,7-Jun,215,27,Colorado,1974,5
1979-1980,Mike Mitchell,,30-Dec-79,Cleveland Cavaliers,F,7-Jun,215,24,Auburn,1978,1
1979-1980,Swen Nater,,23-Dec-79,San Diego Clippers,C,11-Jun,240,30,UCLA,1973,3
1979-1980,Dan Roundfield,,16-Dec-79,Atlanta Hawks,PF,8-Jun,205,26,Central Michigan,1975,3
1979-1980,Kareem Abdul-Jabbar,,9-Dec-79,Los Angeles Lakers,C,2-Jul,225,32,UCLA,1969,10
1979-1980,Adrian Dantley,,2-Dec-79,Utah Jazz,SF,5-Jun,208,24,Notre Dame,1976,3
1979-1980,Walter Davis,,25-Nov-79,Phoenix Suns,GF,6-Jun,193,25,North Carolina,1977,2
1979-1980,Phil Ford,,18-Nov-79,Kansas City Kings,G,2-Jun,175,24,North Carolina,1978,1
1979-1980,Magic Johnson,,11-Nov-79,Los Angeles Lakers,PG,9-Jun,255,20,Michigan State,1979,0
1979-1980,Marques Johnson,,4-Nov-79,Milwaukee Bucks,GF,7-Jun,218,24,UCLA,1977,2
1979-1980,Micheal Ray Richardson,,28-Oct-79,New York Knicks,PG,5-Jun,189,24,Montana,1978,1
1979-1980,Julius Erving,,21-Oct-79,Philadelphia Sixers,SF,6-Jun,200,30,Massachusetts,1972,7
